dateTime	initialValue	lowerLim	upperLim	check	meanSubst	medianSubst
2018-07-01 00:00:00	55.0	13.1	120.5		66.8	59.4
2018-07-01 01:00:00	50.0	7.3	127.9		67.6	65.9
2018-07-01 02:00:00	40.0	2.1	135.8		69.0	74.5
2018-07-01 03:00:00	40.0	-1.5	137.2		67.8	75.0
2018-07-01 04:00:00	40.0	-2.1	135.4		66.7	62.5
2018-07-01 05:00:00	40.0	-4.4	136.0		65.8	51.5
2018-07-01 06:00:00	40.0	-2.6	136.6		67.0	57.5
2018-07-01 07:00:00	40.0	-4.5	145.3		70.4	68.5
2018-07-01 08:00:00	40.0	-6.8	162.8		78.0	76.5
2018-07-01 09:00:00	40.0	-9.8	183.7		87.0	86.9
2018-07-01 10:00:00	41.0	-8.6	196.6		94.0	93.8
2018-07-01 11:00:00	41.0	-8.3	201.1		96.4	96.5
2018-07-01 12:00:00	42.0	-4.7	202.5		98.9	99.5
2018-07-01 13:00:00	41.0	0.9	203.7		102.3	101.2
2018-07-01 14:00:00	45.0	-3.0	218.8		107.9	105.0
2018-07-01 15:00:00	44.0	-4.9	225.8		110.4	105.5
2018-07-01 16:00:00	45.0	-6.5	225.8		109.6	103.5
2018-07-01 17:00:00	47.0	3.0	201.3		102.1	98.0
2018-07-01 18:00:00	46.0	17.3	174.6		96.0	94.0
2018-07-01 19:00:00	48.0	30.0	149.3		89.6	89.5
2018-07-01 20:00:00	47.0	26.4	145.1		85.8	87.2
2018-07-01 21:00:00	47.0	22.4	133.0		77.7	81.8
2018-07-01 22:00:00	48.0	21.8	120.9		71.3	76.0
2018-07-01 23:00:00	47.0	25.0	108.7		66.8	61.0
2018-07-02 00:00:00	73.0	14.7	117.2		65.9	59.4
2018-07-02 01:00:00	116.0	12.3	115.4	abnormal	63.8	56.6
2018-07-02 02:00:00	116.0	2.9	124.7		63.8	53.0
2018-07-02 03:00:00	114.0	0.0	125.7		62.8	53.0
2018-07-02 04:00:00	116.0	1.3	124.3		62.8	53.5
2018-07-02 05:00:00	116.0	0.9	125.9		63.4	55.5
2018-07-02 06:00:00	116.0	2.6	127.6		65.1	57.0
2018-07-02 07:00:00	114.0	-0.2	143.7		71.8	74.5
2018-07-02 08:00:00	116.0	-8.6	175.8		83.6	83.4
2018-07-02 09:00:00	107.0	-9.6	203.4		96.9	108.0
2018-07-02 10:00:00	115.0	-11.6	222.0		105.2	115.7
2018-07-02 11:00:00	116.0	-11.8	225.6		106.9	113.0
2018-07-02 12:00:00	116.0	-9.3	231.2		110.9	118.5
2018-07-02 13:00:00	140.0	-3.8	233.7		115.0	122.0
2018-07-02 14:00:00	147.0	-1.4	245.9		122.3	132.5
2018-07-02 15:00:00	153.0	0.6	248.1		124.4	136.5
2018-07-02 16:00:00	146.0	0.3	243.8		122.1	128.1
2018-07-02 17:00:00	131.0	4.8	219.0		111.9	110.8
2018-07-02 18:00:00	89.0	19.4	190.0		104.7	107.6
2018-07-02 19:00:00	93.0	32.8	160.9		96.8	101.0
2018-07-02 20:00:00	90.0	27.7	158.0		92.9	95.5
2018-07-02 21:00:00	84.0	18.2	145.7		81.9	87.0
2018-07-02 22:00:00	62.0	17.3	128.1		72.7	72.0
2018-07-02 23:00:00	60.0	24.0	108.9		66.5	62.5
2018-07-03 00:00:00	56.0	15.8	118.3		67.0	60.5
2018-07-03 01:00:00	50.0	11.0	126.2		68.6	59.9
2018-07-03 02:00:00	48.0	4.3	132.8		68.5	57.6
2018-07-03 03:00:00	46.0	2.0	132.3		67.2	56.0
2018-07-03 04:00:00	46.0	2.9	131.4		67.1	57.0
2018-07-03 05:00:00	46.0	4.3	132.7		68.5	57.0
2018-07-03 06:00:00	46.0	10.2	133.5		71.8	63.0
2018-07-03 07:00:00	56.0	15.3	148.0		81.6	83.5
2018-07-03 08:00:00	89.0	20.8	177.5		99.2	106.0
2018-07-03 09:00:00	121.0	49.3	190.1		119.7	115.7
2018-07-03 10:00:00	125.0	73.2	196.1		134.7	130.0
2018-07-03 11:00:00	127.0	73.0	200.8		136.9	131.9
2018-07-03 12:00:00	111.0	78.9	203.2		141.0	137.0
2018-07-03 13:00:00	138.0	80.6	207.5		144.1	147.0
2018-07-03 14:00:00	151.0	93.8	211.5		152.7	150.5
2018-07-03 15:00:00	148.0	96.5	212.3		154.4	152.0
2018-07-03 16:00:00	141.0	87.3	211.2		149.2	147.0
2018-07-03 17:00:00	128.0	55.5	208.7		132.1	129.6
2018-07-03 18:00:00	109.0	57.0	178.1		117.6	116.0
2018-07-03 19:00:00	108.0	66.8	144.5		105.6	102.0
2018-07-03 20:00:00	106.0	49.4	149.1		99.3	98.0
2018-07-03 21:00:00	94.0	28.0	144.7		86.4	87.0
2018-07-03 22:00:00	63.0	25.1	124.6		74.9	72.0
2018-07-03 23:00:00	63.0	25.3	107.6		66.5	61.5
2018-07-04 00:00:00	61.0	21.0	106.9		63.9	58.0
2018-07-04 01:00:00	57.0	20.5	104.9		62.7	55.7
2018-07-04 02:00:00	58.0	19.9	101.9		60.9	53.0
2018-07-04 03:00:00	53.0	19.2	99.8		59.5	53.0
2018-07-04 04:00:00	49.0	19.7	98.7		59.2	53.5
2018-07-04 05:00:00	57.0	19.8	100.9		60.4	56.0
