	날짜	시간	요일	1	25	68
2018-05-01 0:00	1217.0	0.0	2.0	12.4	82.4	22.1
2018-05-01 1:00	1217.0	1.0	2.0	11.9	81.7	22.6
2018-05-01 2:00	1217.0	2.0	2.0	11.6	78.0	22.5
2018-05-01 3:00	1217.0	3.0	2.0	11.6	78.5	22.0
2018-05-01 4:00	1217.0	4.0	2.0	11.4	75.5	18.0
2018-05-01 5:00	1217.0	5.0	2.0	12.6	76.0	28.0
2018-05-01 6:00	1217.0	6.0	2.0	14.8	74.5	24.0
2018-05-01 7:00	1217.0	7.0	2.0	16.5	79.0	30.5
2018-05-01 8:00	1217.0	8.0	2.0	22.0	92.5	25.5
2018-05-01 9:00	1217.0	9.0	2.0	25.0	99.0	20.5
2018-05-01 10:00	1217.0	10.0	2.0	30.5	111.5	16.5
2018-05-01 11:00	1217.0	11.0	2.0	32.0	114.5	23.5
2018-05-01 12:00	1217.0	12.0	2.0	37.0	116.75	24.5
2018-05-01 13:00	1217.0	13.0	2.0	39.0	119.0	28.5
2018-05-01 14:00	1217.0	14.0	2.0	39.5	121.5	24.5
2018-05-01 15:00	1217.0	15.0	2.0	42.0	116.0	23.5
2018-05-01 16:00	1217.0	16.0	2.0	38.0	113.0	27.0
2018-05-01 17:00	1217.0	17.0	2.0	33.0	105.0	28.0
2018-05-01 18:00	1217.0	18.0	2.0	28.5	105.0	37.5
2018-05-01 19:00	1217.0	19.0	2.0	23.5	95.5	36.0
2018-05-01 20:00	1217.0	20.0	2.0	19.0	95.0	32.5
2018-05-01 21:00	1217.0	21.0	2.0	18.0	89.5	30.5
2018-05-01 22:00	1217.0	22.0	2.0	15.5	84.5	24.5
2018-05-01 23:00	1217.0	23.0	2.0	15.0	80.5	21.5
2018-05-02 0:00	1218.0	0.0	3.0	13.5	76.5	22.0
2018-05-02 1:00	1218.0	1.0	3.0	12.9	76.5	20.5
2018-05-02 2:00	1218.0	2.0	3.0	12.4	76.5	21.0
2018-05-02 3:00	1218.0	3.0	3.0	12.4	73.5	21.0
2018-05-02 4:00	1218.0	4.0	3.0	13.4	75.5	15.5
2018-05-02 5:00	1218.0	5.0	3.0	13.5	72.5	17.5
2018-05-02 6:00	1218.0	6.0	3.0	15.0	75.5	11.5
2018-05-02 7:00	1218.0	7.0	3.0	16.0	72.5	12.5
2018-05-02 8:00	1218.0	8.0	3.0	17.5	78.5	12.5
2018-05-02 9:00	1218.0	9.0	3.0	18.5	77.0	11.5
2018-05-02 10:00	1218.0	10.0	3.0	19.5	94.0	13.0
2018-05-02 11:00	1218.0	11.0	3.0	19.5	99.2	11.5
2018-05-02 12:00	1218.0	12.0	3.0	14.5	86.5	12.0
2018-05-02 13:00	1218.0	13.0	3.0	14.5	108.5	33.5
2018-05-02 14:00	1218.0	14.0	3.0	53.9	120.4	36.4
2018-05-02 15:00	1218.0	15.0	3.0	50.4	122.7	38.9
2018-05-02 16:00	1218.0	16.0	3.0	45.7	197.8	37.5
2018-05-02 17:00	1218.0	17.0	3.0	34.1	98.7	35.3
2018-05-02 18:00	1218.0	18.0	3.0	25.1	102.5	34.0
2018-05-02 19:00	1218.0	19.0	3.0	17.0	103.2	35.4
2018-05-02 20:00	1218.0	20.0	3.0	21.9	98.0	42.3
2018-05-02 21:00	1218.0	21.0	3.0	16.1	83.5	35.8
2018-05-02 22:00	1218.0	22.0	3.0	14.0	81.4	33.1
2018-05-02 23:00	1218.0	23.0	3.0	18.9	75.0	28.2
2018-05-03 0:00	1219.0	0.0	4.0	17.2	71.4	25.8
2018-05-03 1:00	1219.0	1.0	4.0	16.8	71.2	25.1
2018-05-03 2:00	1219.0	2.0	4.0	16.9	67.5	24.7
2018-05-03 3:00	1219.0	3.0	4.0	16.7	68.4	25.6
2018-05-03 4:00	1219.0	4.0	4.0	16.6	68.5	25.2
2018-05-03 5:00	1219.0	5.0	4.0	18.2	66.6	22.0
2018-05-03 6:00	1219.0	6.0	4.0	18.2	68.3	19.2
2018-05-03 7:00	1219.0	7.0	4.0	21.1	73.9	28.7
2018-05-03 8:00	1219.0	8.0	4.0	25.8	87.3	39.2
2018-05-03 9:00	1219.0	9.0	4.0	32.8	103.2	40.4
2018-05-03 10:00	1219.0	10.0	4.0	38.7	105.5	43.3
2018-05-03 11:00	1219.0	11.0	4.0	37.6	105.9	36.5
2018-05-03 12:00	1219.0	12.0	4.0	39.7	111.9	35.6
2018-05-03 13:00	1219.0	13.0	4.0	44.0	114.2	30.3
2018-05-03 14:00	1219.0	14.0	4.0	46.4	120.8	31.5
2018-05-03 15:00	1219.0	15.0	4.0	38.2	116.4	34.3
2018-05-03 16:00	1219.0	16.0	4.0	43.3	119.2	35.4
2018-05-03 17:00	1219.0	17.0	4.0	37.5	86.5	40.0
2018-05-03 18:00	1219.0	18.0	4.0	19.2	95.3	38.6
2018-05-03 19:00	1219.0	19.0	4.0	24.0	91.8	36.7
2018-05-03 20:00	1219.0	20.0	4.0	22.0	96.3	42.8
2018-05-03 21:00	1219.0	21.0	4.0	25.5	82.7	33.2
2018-05-03 22:00	1219.0	22.0	4.0	18.3	77.6	27.0
2018-05-03 23:00	1219.0	23.0	4.0	15.6	67.1	24.2
2018-05-04 0:00	1220.0	0.0	5.0	13.0	54.3	20.3
2018-05-04 1:00	1220.0	1.0	5.0	16.4	66.9	25.4
2018-05-04 2:00	1220.0	2.0	5.0	16.0	64.4	25.8
2018-05-04 3:00	1220.0	3.0	5.0	15.0	66.8	26.0
2018-05-04 4:00	1220.0	4.0	5.0	14.8	64.3	26.2
2018-05-04 5:00	1220.0	5.0	5.0	16.3	65.8	24.1
2018-05-04 6:00	1220.0	6.0	5.0	17.9	67.0	25.3
2018-05-04 7:00	1220.0	7.0	5.0	15.8	73.1	27.4
2018-05-04 8:00	1220.0	8.0	5.0	21.8	72.8	36.8
2018-05-04 9:00	1220.0	9.0	5.0	28.4	92.8	44.8
2018-05-04 10:00	1220.0	10.0	5.0	33.9	100.6	37.2
2018-05-04 11:00	1220.0	11.0	5.0	37.7	105.7	33.5
2018-05-04 12:00	1220.0	12.0	5.0	36.2	101.3	27.5
2018-05-04 13:00	1220.0	13.0	5.0	37.8	108.7	26.5
2018-05-04 14:00	1220.0	14.0	5.0	39.0	108.5	22.9
2018-05-04 15:00	1220.0	15.0	5.0	33.4	106.0	29.8
2018-05-04 16:00	1220.0	16.0	5.0	32.5	104.9	36.7
2018-05-04 17:00	1220.0	17.0	5.0	31.2	96.0	38.5
2018-05-04 18:00	1220.0	18.0	5.0	24.5	94.1	39.9
2018-05-04 19:00	1220.0	19.0	5.0	15.6	63.7	30.0
2018-05-04 20:00	1220.0	20.0	5.0	24.0	107.5	36.2
2018-05-04 21:00	1220.0	21.0	5.0	14.0	82.2	28.3
2018-05-04 22:00	1220.0	22.0	5.0	13.0	76.8	26.3
2018-05-04 23:00	1220.0	23.0	5.0	16.9	70.1	24.6
2018-05-05 0:00	1221.0	0.0	6.0	15.6	68.3	25.1
2018-05-05 1:00	1221.0	1.0	6.0	15.7	65.2	25.6
2018-05-05 2:00	1221.0	2.0	6.0	15.0	66.6	23.9
2018-05-05 3:00	1221.0	3.0	6.0	14.4	63.8	24.4
2018-05-05 4:00	1221.0	4.0	6.0	13.8	58.7	22.6
2018-05-05 5:00	1221.0	5.0	6.0	12.3	58.2	19.9
2018-05-05 6:00	1221.0	6.0	6.0	13.0	55.4	13.6
2018-05-05 7:00	1221.0	7.0	6.0	15.9	71.2	20.9
2018-05-05 8:00	1221.0	8.0	6.0	16.2	68.6	15.9
2018-05-05 9:00	1221.0	9.0	6.0	18.8	72.5	19.0
2018-05-05 10:00	1221.0	10.0	6.0	20.5	76.3	22.1
2018-05-05 11:00	1221.0	11.0	6.0	21.1	77.8	31.5
2018-05-05 12:00	1221.0	12.0	6.0	22.6	81.5	34.7
2018-05-05 13:00	1221.0	13.0	6.0	25.3	84.6	29.5
2018-05-05 14:00	1221.0	14.0	6.0	18.1	54.6	11.8
2018-05-05 15:00	1221.0	15.0	6.0	18.0	88.8	12.0
2018-05-05 16:00	1221.0	16.0	6.0	18.0	84.0	18.0
2018-05-05 17:00	1221.0	17.0	6.0	15.5	82.0	21.5
2018-05-05 18:00	1221.0	18.0	6.0	16.0	82.5	30.0
2018-05-05 19:00	1221.0	19.0	6.0	12.5	78.5	31.0
2018-05-05 20:00	1221.0	20.0	6.0	13.5	81.0	29.0
2018-05-05 21:00	1221.0	21.0	6.0	12.0	77.0	26.0
2018-05-05 22:00	1221.0	22.0	6.0	12.0	77.0	22.5
2018-05-05 23:00	1221.0	23.0	6.0	11.5	75.5	21.0
2018-05-06 0:00	1222.0	0.0	7.0	11.5	74.5	21.5
2018-05-06 1:00	1222.0	1.0	7.0	11.0	74.5	22.0
2018-05-06 2:00	1222.0	2.0	7.0	11.5	71.5	20.5
2018-05-06 3:00	1222.0	3.0	7.0	11.5	76.5	22.0
2018-05-06 4:00	1222.0	4.0	7.0	11.0	71.5	16.0
2018-05-06 5:00	1222.0	5.0	7.0	12.6	75.0	16.5
2018-05-06 6:00	1222.0	6.0	7.0	11.2	74.0	11.5
2018-05-06 7:00	1222.0	7.0	7.0	14.6	72.0	12.5
2018-05-06 8:00	1222.0	8.0	7.0	14.2	73.5	12.0
2018-05-06 9:00	1222.0	9.0	7.0	17.0	74.0	19.0
2018-05-06 10:00	1222.0	10.0	7.0	17.5	74.5	20.5
2018-05-06 11:00	1222.0	11.0	7.0	18.5	80.0	27.0
2018-05-06 12:00	1222.0	12.0	7.0	18.5	79.5	22.5
2018-05-06 13:00	1222.0	13.0	7.0	18.5	85.0	21.5
2018-05-06 14:00	1222.0	14.0	7.0	18.5	82.5	14.5
2018-05-06 15:00	1222.0	15.0	7.0	17.5	88.0	16.9
2018-05-06 16:00	1222.0	16.0	7.0	18.0	83.5	17.4
2018-05-06 17:00	1222.0	17.0	7.0	15.5	88.5	16.4
2018-05-06 18:00	1222.0	18.0	7.0	18.2	89.0	23.4
2018-05-06 19:00	1222.0	19.0	7.0	15.5	89.5	20.5
2018-05-06 20:00	1222.0	20.0	7.0	15.2	87.0	24.0
2018-05-06 21:00	1222.0	21.0	7.0	14.5	85.5	24.5
2018-05-06 22:00	1222.0	22.0	7.0	12.5	79.5	22.0
2018-05-06 23:00	1222.0	23.0	7.0	12.0	80.1	22.0
2018-05-07 0:00	1223.0	0.0	8.0	12.3	80.0	22.0
